vehicle,initial,final,times,dates,differences
Sedan,40,38,NA,NA,2
Suv,23,25,NA,NA,-2
Suv,16,26,NA,NA,-10
Truck,29,31,NA,NA,-2
Suv,33,34,NA,NA,-1
Truck,20,25,NA,NA,-5
Sedan,25,29,NA,NA,-4
Truck,32,32,NA,NA,0
Sedan,35,36,NA,NA,-1
Suv,22,30,NA,NA,-8
Suv,18,24,NA,NA,-6
Truck,37,39,NA,NA,-2
Suv,24,26,NA,NA,-2
Truck,26,26,NA,NA,0
Sedan,19,20,NA,NA,-1
Suv,27,33,NA,NA,-6
Sedan,29,32,NA,NA,-3
Truck,34,30,NA,NA,4
Suv,13,28,NA,NA,-15
Sedan,25,25,NA,NA,0
Truck,28,31,NA,NA,-3
Suv,32,35,NA,NA,-3
Sedan,16,22,NA,NA,-6
Suv,38,37,NA,NA,1
Truck,30,28,NA,NA,2
Suv,24,27,NA,NA,-3
Sedan,31,34,NA,NA,-3
Truck,36,39,NA,NA,-3
Sedan,14,23,NA,NA,-9
Suv,22,26,NA,NA,-4
Truck,34,34,NA,NA,0
Sedan,20,29,NA,NA,-9
Suv,39,40,NA,NA,-1
Suv,33,35,NA,NA,-2
Sedan,26,28,NA,NA,-2
Truck,19,24,NA,NA,-5
Sedan,35,33,NA,NA,2
Suv,18,25,NA,NA,-7
Truck,30,31,NA,NA,-1
Sedan,23,23,NA,NA,0
Suv,16,20,NA,NA,-4
Suv,36,38,NA,NA,-2
Truck,25,28,NA,NA,-3
Suv,31,33,NA,NA,-2
Truck,21,30,NA,NA,-9
Sedan,37,36,NA,NA,1
Sedan,14,29,NA,NA,-15
Truck,28,26,NA,NA,2
Suv,33,37,NA,NA,-4
Suv,29,32,NA,NA,-3
Truck,10,25,NA,NA,-15
Sedan,34,34,NA,NA,0
Suv,20,28,NA,NA,-8
Truck,40,39,NA,NA,1
Sedan,26,30,NA,NA,-4
Truck,16,27,NA,NA,-11
Suv,31,32,NA,NA,-1
Sedan,14,20,NA,NA,-6
Suv,29,33,NA,NA,-4
Truck,36,37,NA,NA,-1
Sedan,20,24,NA,NA,-4
Truck,24,25,NA,NA,-1
Suv,28,28,NA,NA,0
Suv,37,39,NA,NA,-2
Truck,15,28,NA,NA,-13
Sedan,30,29,NA,NA,1
Suv,26,32,NA,NA,-6
Suv,21,27,NA,NA,-6
Sedan,34,34,NA,NA,0
Truck,29,35,NA,NA,-6
Suv,40,38,NA,NA,2
Truck,18,23,NA,NA,-5
Sedan,32,32,NA,NA,0
Suv,25,31,NA,NA,-6
Truck,33,36,NA,NA,-3
Sedan,14,26,NA,NA,-12
Truck,28,29,NA,NA,-1
Sedan,19,24,NA,NA,-5
Suv,27,27,NA,NA,0
Sedan,NA,16,16:25,4/7/2025,NA
Sedan,NA,28,16:27,4/7/2025,NA
Pickup Truck,NA,29,16:28,4/7/2025,NA
Suv,NA,25,16:29,4/7/2025,NA
Sedan,NA,21,16:30,4/7/2025,NA
Suv,NA,16,16:31,4/7/2025,NA
Suv,NA,20,16:31,4/7/2025,NA
Sedan,NA,27,16:34,4/7/2025,NA
Suv,NA,18,16:35,4/7/2025,NA
Sedan,NA,20,16:36,4/7/2025,NA
Suv,NA,20,16:36,4/7/2025,NA
Sedan,NA,21,16:36,4/7/2025,NA
Suv,NA,28,16:36,4/7/2025,NA
Sedan,NA,21,16:37,4/7/2025,NA
Suv,NA,29,16:39,4/7/2025,NA
Suv,NA,25,16:40,4/7/2025,NA
Suv,NA,28,16:40,4/7/2025,NA
Sedan,NA,23,16:42,4/7/2025,NA
Suv,NA,23,16:43,4/7/2025,NA
Suv,NA,22,16:44,4/7/2025,NA
Suv,NA,20,16:45,4/7/2025,NA
Sedan,NA,24,16:45,4/7/2025,NA
Suv,NA,15,16:46,4/7/2025,NA
Suv,NA,31,16:47,4/7/2025,NA
Suv,NA,19,16:48,4/7/2025,NA
Sedan,NA,26,16:49,4/10/2025,NA
Suv,NA,18,16:50,4/10/2025,NA
Pickup Truck,NA,23,16:51,4/10/2025,NA
Suv,NA,17,16:52,4/10/2025,NA
Sedan,NA,22,16:53,4/10/2025,NA
Sedan,NA,19,16:54,4/10/2025,NA
Suv,NA,16,16:55,4/10/2025,NA
Sedan,NA,27,16:56,4/10/2025,NA
Suv,NA,29,16:57,4/10/2025,NA
Sedan,NA,21,16:58,4/10/2025,NA
Suv,NA,20,16:59,4/10/2025,NA
Pickup Truck,NA,30,17:00,4/10/2025,NA
Sedan,NA,24,17:01,4/10/2025,NA
Suv,NA,18,17:02,4/10/2025,NA
Suv,NA,20,17:03,4/10/2025,NA
Sedan,NA,22,17:04,4/10/2025,NA
Sedan,NA,16,17:05,4/10/2025,NA
Suv,NA,25,17:06,4/10/2025,NA
Sedan,NA,29,17:07,4/10/2025,NA
Suv,NA,19,17:08,4/10/2025,NA
Sedan,NA,20,17:09,4/10/2025,NA
Suv,NA,28,17:10,4/10/2025,NA
Suv,NA,17,17:11,4/10/2025,NA
Suv,NA,26,17:12,4/10/2025,NA
Sedan,NA,21,17:13,4/10/2025,NA
Suv,NA,15,17:14,4/10/2025,NA
Sedan,NA,24,17:15,4/10/2025,NA
Suv,NA,25,17:16,4/10/2025,NA
Suv,NA,19,17:17,4/10/2025,NA
Pickup Truck,NA,23,17:18,4/10/2025,NA
Sedan,NA,20,17:19,4/10/2025,NA
Suv,NA,21,17:20,4/10/2025,NA
Sedan,NA,22,17:21,4/10/2025,NA
Suv,NA,18,17:22,4/10/2025,NA
Suv,NA,30,17:23,4/10/2025,NA
Suv,NA,27,17:24,4/10/2025,NA
Sedan,NA,16,17:25,4/10/2025,NA
Suv,NA,28,17:26,4/10/2025,NA
Suv,NA,24,17:27,4/10/2025,NA
Sedan,NA,20,17:28,4/10/2025,NA
Suv,NA,22,17:29,4/10/2025,NA
Sedan,NA,21,17:30,4/10/2025,NA
Suv,NA,19,17:31,4/10/2025,NA
Sedan,NA,26,17:32,4/10/2025,NA
